#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview,duration_ms,release_year
1,Unutulacak Dünler,Gazapizm,64,180,turkish hip hop,Hip Hop,HİZA,2020-02-13,04:55,63,83,7,0,69,10,10,-7,F Minor,4,2024-01-18,3aXTeIVnDvo2MT1xLTdGK3,Argo Yapım,4A,https://p.scdn.co/mp3-preview/bdeb325aa724da0417c689e03850d9b7473c6220?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519bb3466efc5b946eb500137f,295637,2020
2,Tekrar,Karya Çandar,26,95,,,Tekrar,2021-06-11,02:27,80,88,12,0,37,20,20,-4,G Major,4,2024-01-18,1T5FRePJ0y55PRYGjlxHgn,Bubble Project,9B,https://p.scdn.co/mp3-preview/0b295148dd4e36d6611d6a901b1a3272dbf63157?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851acdeed020e144203245b7503,147771,2021
3,Seni Dert Etmeler,Madrigal,74,88,"turkish alt pop, turkish rock","Pop, Rock",Seni Dert Etmeler,2020-03-27,03:08,55,61,15,0,84,0,30,-11,F Minor,4,2024-01-18,10n66m41IGjA2ZulKPK7Ew,AVRUPA MÜZİK YAPIM,4A,https://p.scdn.co/mp3-preview/7a7c33a32d79630c7330a44636346a5d2b4e9baa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519aa96c06d5c346ccf6ffaf8d,188500,2020
4,Kelebekler,Madrigal,61,82,"turkish alt pop, turkish rock","Pop, Rock",Kelebekler,2019-12-04,04:07,70,45,14,0,85,0,0,-11,F Minor,4,2024-01-18,3O9G6FQrqhwQxR0GeeF93Q,789115 Records DK,4A,https://p.scdn.co/mp3-preview/c9162585c2d27cedeb59524177a4d3a13f404e74?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514c0b400788192745566a9a14,247129,2019
5,25,Ati242,72,120,turkish hip hop,Hip Hop,25,2022-05-13,03:30,74,74,32,0,41,10,10,-8,B Minor,4,2024-01-18,4HuB9A0O1XwmwTVtTgODm8,PMC,10A,https://p.scdn.co/mp3-preview/301635927b448571524ddfccf2f5a9db328048d4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485108caa6d45ef97ce44edf1189,210044,2022
6,Olamam İflah,"Lil Zey,Khontkar",54,59,"turkce kadin rap, turkish hip hop, turkish trap",Hip Hop,Kara Tiyatro,2021-05-28,03:18,69,57,48,0,39,10,0,-8,E Minor,4,2024-01-18,2PW6hfd7Dhz5Eo3voCCdXr,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,9A,,https://i.scdn.co/image/ab67616d000048517723d08b2179a80fdc4fc31e,198000,2021
7,Neden,"Mudi,Enes",30,83,"german hip hop, turkish trap pop","Hip Hop, Pop",Amal,2021-01-08,02:59,68,58,31,0,43,0,20,-9,B Minor,4,2024-01-18,5ZiCxjBnHUG4prwOd1MU2S,HAYAT GbR,10A,https://p.scdn.co/mp3-preview/0bf60e234697dbe05d0e7d6f287276f5db78db4d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a0e3eea51e25447c61f1ac2b,179500,2021
8,Al Aramızdan,KÖFN,71,94,"turkish alt pop, turkish pop",Pop,Al Aramızdan,2023-04-14,02:51,62,70,10,0,45,0,20,-9,F#/G♭ Minor,4,2024-01-18,6Uaw8GEKP6AxIMNUyi6q6w,Hypers,11A,https://p.scdn.co/mp3-preview/75dcfd90403d5bfdd611e26f07df5036f4f5dc6c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517ee94fe93a796eff8e730f6c,171382,2023
9,PAPARAZZI,UZI,69,110,"turkish hip hop, turkish trap",Hip Hop,PAPARAZZI,2021-11-19,02:44,85,80,46,0,38,20,0,-6,A Minor,4,2024-01-18,6gxLEbRJlorva6uVRW4gof,Ava Music / Avrupa Müzik,8A,https://p.scdn.co/mp3-preview/282d46a54495d5c1b2ecd628780956038d331a44?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517e114c9fa018c5e104aad4dc,164000,2021
10,Gökyüzünü Tutamam,Can Koç,69,176,turkce slow sarkilar,Pop,Gökyüzünü Tutamam,2021-07-23,03:15,47,67,8,1,64,10,10,-10,D Minor,4,2024-01-18,4O9hcXs1ohtbw4xnMU8wfo,Fono Müzik Üretim,7A,https://p.scdn.co/mp3-preview/740bd729f056a0f12e80814b91afaeb306737807?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851183337eef9318285b10d6164,195000,2021
11,Baba,Diyar Pala,48,152,turkish hip hop,Hip Hop,Original,2010-04-01,03:43,62,62,7,0,23,0,30,-7,A Minor,4,2024-01-18,4BX8qx8CcPz30WxiI2G6Qk,Pala Music,8A,https://p.scdn.co/mp3-preview/78f5d701582304f582e8ac01f7a57b3a15406ca5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510481d6d9d1097bba9f95d8d5,223986,2010
12,Geceler,Ezhel,70,130,"turkish hip hop, turkish trap",Hip Hop,Müptezhel,2017-05-25,03:42,79,50,37,0,34,10,0,-11,B Minor,4,2024-01-18,0R0o8uOkDz40XsR6uwThfQ,KOAL,10A,https://p.scdn.co/mp3-preview/9291c21cc4bb988c48a3c05b18cbe57fafe0e888?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ecd10eea07796a0edf4fb609,222927,2017
13,ELMAS,"Luciano,Lil Zey",53,140,"german drill, german hip hop, turkce kadin rap, turkish hip hop, turkish trap","Latin, Hip Hop",AQUA,2021-07-01,03:05,78,43,62,0,41,10,10,-7,A#/B♭ Minor,4,2024-01-18,3g1xpWXrQT5KriZ381i9Zg,URBAN,3A,,https://i.scdn.co/image/ab67616d000048519f04dab055abfe4f1efdae0c,185080,2021
14,Bul Beni,Ezhel,63,104,"turkish hip hop, turkish trap",Hip Hop,Bul Beni,2021-07-02,02:34,56,54,52,0,33,30,10,-8,F#/G♭ Minor,4,2024-01-18,6ipyu0Am4avjFkBcFAhVAz,Koal Arts GmbH,11A,https://p.scdn.co/mp3-preview/fdca1e16a00628720537088b0f36e5e2c4bb2667?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516b42e100079c0b3132d3ed25,154173,2021
15,We Are The People,Empire of the Sun,56,123,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop","Electronic, Pop, Rock",Walking On A Dream,2008-01-01,04:27,67,79,10,2,55,0,40,-5,E Minor,4,2024-01-18,6DG1vjbBFKJWVeihm4hK0X,Capitol Records,9A,,https://i.scdn.co/image/ab67616d000048519c30bcc6da94b735333ca85a,267354,2008
16,Take What You Want (feat. Ozzy Osbourne & Travis Scott),"Post Malone,Ozzy Osbourne,Travis Scott",78,140,"dfw rap, melodic rap, pop, rap, album rock, alternative metal, birmingham metal, classic rock, glam metal, hard rock, metal, rock, hip hop, slap house","Rock, Metal, Hip Hop, Pop, Electronic",Hollywood's Bleeding,2019-09-06,03:49,50,80,9,0,27,0,10,-3,C♯/D♭ Minor,4,2024-01-18,7CZyCXKG6d5ALeq41sLzbw,Republic Records,12A,,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02,229573,2019
17,Heveslenmem,Lil Zey,59,122,"turkce kadin rap, turkish hip hop, turkish trap",Hip Hop,Heveslenmem,2020-03-06,03:00,76,51,48,0,52,0,0,-7,G#/A♭ Minor,4,2024-01-18,1KzBkHudZtJqwAyrr3eExZ,RedKeys Music,1A,https://p.scdn.co/mp3-preview/7b849045eb3195a4b1798beab1ab8cb256c91459?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ebfe13163aec18c930fcf6d4,180983,2020
18,sana dönmem imkansız,"sevimo.,Mela Bedel",51,88,,,kalp kırıkları & sedatifler,2021-02-26,03:47,58,61,13,0,44,0,20,-7,F#/G♭ Minor,4,2024-01-18,7ph61dzwt1IgoswCZMebeE,Mo Records,11A,https://p.scdn.co/mp3-preview/ca18062d796da32742d01d844067f245d3e016b5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485120d1d8f38d0bdefe0b556be1,227151,2021
