#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Round & Round","Bob Moses",50,122,"canadian electronic, canadian house","Electronic","Round & Round",2023-10-06,03:39,69,77,0,7,21,0,10,-5,A Minor,4,2024-01-13,6aUk3zMedZd18Axi3ZO8lN,"Domino Recording Company/Astralwerks",8A,,https://i.scdn.co/image/ab67616d00004851ef1983d908ff67c167114ee5
2,"Devil's Prescription","ZHU",40,122,"edm, electro house","Electronic","Days Before Grace",2023-09-08,03:47,75,56,7,0,21,0,10,-6,G#/A♭ Minor,4,2024-01-13,2ZK6XVwxGKzdEqJn3y9fwi,"Astralwerks",1A,,https://i.scdn.co/image/ab67616d00004851021b1edf5e9cc7142002f867
3,"Take My Soul","ZHU,Devault",50,107,"edm, electro house, vapor twitch","Electronic","Days Before Grace",2023-09-08,05:01,66,73,4,21,22,0,20,-5,G#/A♭ Minor,4,2024-01-13,2Qe6S4Xy5rS2Vidoaxp6b0,"Astralwerks",1A,,https://i.scdn.co/image/ab67616d00004851021b1edf5e9cc7142002f867
4,"Days Before Grace","ZHU",39,88,"edm, electro house","Electronic","Days Before Grace",2023-09-08,04:22,46,47,21,0,12,10,10,-4,D Major,4,2024-01-13,3zptIHCyfvKTS8Wnt1p6hI,"Astralwerks",10B,,https://i.scdn.co/image/ab67616d00004851021b1edf5e9cc7142002f867
5,"Blind Believer","ZHU,Reo Cragun,Rexx Life Raj",35,104,"edm, electro house, canadian hip hop, trap soul, cali rap","Hip Hop, Electronic, R&B","Days Before Grace",2023-09-08,03:29,60,68,3,0,47,0,10,-4,D Major,4,2024-01-13,0IAtBxqtDL45CU85wcoQHD,"Astralwerks",10B,,https://i.scdn.co/image/ab67616d00004851021b1edf5e9cc7142002f867
6,"Changes","ZHU",43,128,"edm, electro house","Electronic","Changes",2023-07-28,04:22,70,84,10,2,3,0,10,-5,A Minor,4,2024-01-13,0uv3BtICvv2Y4CWS3vIV28,"Astralwerks",8A,,https://i.scdn.co/image/ab67616d0000485111ba0aaaab389f16648df8fa
7,"Friends - Bridges Remix","Emmit Fenn,Bridges",35,130,"chill house, melodic house","Electronic","Friends",2023-09-01,03:04,71,83,7,8,52,0,10,-6,F#/G♭ Major,4,2024-01-13,2zqAYegY4aGmT9ofqGUoxg,"TH3RD BRAIN",2B,https://p.scdn.co/mp3-preview/1c137b55d26abf127570c8780ece2361901e2cb6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851529c366a7f04497488ecc319
8,"If Everything Was Different - Effemar Remix","Emmit Fenn,Effemar",40,120,"chill house, ","Electronic","If Everything Was Different (Effemar Remix)",2023-09-15,02:26,87,67,13,46,38,0,10,-7,C Major,4,2024-01-13,6K8D9JcbRLh6AMgXUtMTvK,"TH3RD BRAIN",8B,https://p.scdn.co/mp3-preview/e854593928d900d0530c2263dad9b83178074efb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518169dac4b8ce15a6f0d88384
9,"Meaning Of Love","Kaskade,Digital Youth",36,124,"edm, electro house, pop dance, progressive electro house, progressive house, vocal house, ","Electronic","REDUX 006",2023-10-27,06:41,65,75,47,5,8,0,0,-8,A#/B♭ Minor,4,2024-01-13,4drQLgjrxiCRjFaBAMGIXy,"Arkade",3A,https://p.scdn.co/mp3-preview/577fbecd9c5c89c77ab3d20f5f9ba184584fdcc7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851336aea94d7ff4c56b5170d9f
10,"You & I - Mansionair Remix","Vallis Alps,Mansionair",37,127,"australian indie, vapor soul, aussietronica, indietronica","Electronic, Pop, R&B","You & I (Mansionair Remix)",2023-10-05,03:57,76,91,1,0,45,0,10,-7,D#/E♭ Major,4,2024-01-13,0t5WDA4jaAYWCacACgG0HK,"Vallis Alps",5B,https://p.scdn.co/mp3-preview/d7bdd845a4e0be8692597b0b8e7c30ee65e7bd98?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510c73ccb97c0f9f6eec6985e2
